"System Time Index";"BVP Data"
"1530209354913";"-16.0"
"1530209354913";"-15.0"
"1530209354935";"-14.0"
"1530209354935";"-13.0"
"1530209354935";"-12.0"
"1530209354935";"-11.0"
"1530209354935";"-9.0"
"1530209354935";"-8.0"
"1530209354957";"-7.0"
"1530209354959";"-5.0"
"1530209354959";"-4.0"
"1530209354959";"-2.0"
"1530209354959";"0.0"
"1530209354980";"2.0"
"1530209354980";"4.0"
"1530209354980";"6.0"
"1530209354980";"8.0"
"1530209354980";"9.0"
"1530209354981";"11.0"
"1530209355001";"13.0"
"1530209355002";"15.0"
"1530209355002";"17.0"
"1530209355002";"19.0"
"1530209355002";"21.0"
"1530209355002";"22.0"
"1530209355023";"24.0"
"1530209355023";"26.0"
"1530209355023";"28.0"
"1530209355023";"29.0"
"1530209355023";"30.0"
"1530209355070";"31.0"
"1530209355133";"32.0"
"1530209355157";"33.0"
"1530209355199";"32.0"
"1530209355199";"31.0"
"1530209355220";"30.0"
"1530209355220";"29.0"
"1530209355220";"28.0"
"1530209355221";"27.0"
"1530209355221";"26.0"
"1530209355222";"25.0"
"1530209355222";"24.0"
"1530209355222";"23.0"
"1530209355222";"22.0"
"1530209355243";"21.0"
"1530209355243";"20.0"
"1530209355243";"19.0"
"1530209355244";"18.0"
"1530209355264";"17.0"
"1530209355265";"16.0"
"1530209355265";"15.0"
"1530209355265";"14.0"
"1530209355265";"13.0"
"1530209355265";"12.0"
"1530209355286";"11.0"
"1530209355286";"10.0"
"1530209355288";"9.0"
"1530209355308";"8.0"
"1530209355309";"7.0"
"1530209355309";"6.0"
"1530209355309";"5.0"
"1530209355309";"4.0"
"1530209355309";"3.0"
"1530209355310";"2.0"
"1530209355310";"1.0"
"1530209355330";"0.0"
"1530209355331";"-1.0"
"1530209355351";"-2.0"
"1530209355353";"-3.0"
"1530209355374";"-4.0"
"1530209355374";"-5.0"
"1530209355374";"-6.0"
"1530209355374";"-7.0"
"1530209355374";"-8.0"
"1530209355395";"-9.0"
"1530209355396";"-10.0"
